"idbase","nombre","calle","numero","idgis","codpostal","latitud","altitud","externalId"
"3439","Aparcamiento Sanapú","Avda. de los Consignatarios","23","3511","35008","28.145459","-15.42848","7696380"
"3444","Autoridad Portuaria","Tomás Quevedo Ramírez","0","3506","35008","28.147166","-15.41916","9802748"
"3421","Ayuntamiento","León y Castillo","270","587","35005","28.124900","-15.42867","5368329"
"3418","Barranquillo Don Zoilo","Paseo de Chil","195","296","35005","28.119184","-15.42962","5368425"
"3425","Base Naval","León y Castillo","373","587","35006","28.134711","-15.42914","5368096"
"3438","C.C. El Muelle","Luis Morote","1","630","35007","28.140399","-15.42806","5368024"
"3450","C.C. La Ballena (elect.)","Carretera del Norte","159","1283","35013","28.100367077056426","-15.442367792129515","44498355"
"3434","C.C. La Minilla","Pintor Juan Guillermo","5","3347","35011","28.125907","-15.43846","5368307"
"3411","Cabildo de Gran Canaria","Paseo de Tomás Morales","6","1031","35003","28.108313","-15.42068","5368474"
"3435","Canódromo","Sor Simona","44","986","35012","28.112338","-15.43389","14500104"
"34351","Canódromo (electric)","Sor Simona","44","986","35012","28.112338","-15.43389","5368431"
"3442","Castillo de la Luz","Pérez Muñoz","13","814","35008","28.148313","-15.42706","5367921"
"3446","Castillo de Mata","Paseo de Chil","3","296","35002","28.108058","-15.421789","41293996"
"3431","Churruca","Velarde","6","1070","35010","28.133718","-15.44064","5368173"
"3404","Ciudad de la Justicia","Málaga","2","2152","35016","28.094437","-15.41368","6709414"
"3401","Ciudad Deportiva","Paseo Blas Cabrera Felipe ""Físico""","1","1612","35016","28.078862346558","-15.417847037315","5368760"
"3407","Gabinete Literario","Plaza de Cairasco","5","160","35002","28.102688","-15.41643","5368515"
"3449","Hoya de la Plata","Paseo Blas Cabrera Felipe ""Físico""","43","1612","35016","28.073618022289","-15.417326688766","39915530"
"3428","IES Mesa y López","José Mesa y López","78","550","35010","28.131102","-15.43900","5368183"
"3433","Intermodal El Rincón","Carretera del Rincón","0","1317","35010","28.128188","-15.45118","5368285"
"3440","Las Canteras - Luis Morote","Luis Morote","56","630","35007","28.141187","-15.43481","5368040"
"3414","León y Castillo","León y Castillo","152","587","35004","28.116700","-15.42259","5368356"
"3426","Mercado Central","Barcelona","22","106","35006","28.133164","-15.43294","5368119"
"3445","Muelle Deportivo","Joaquin Blanco Torrent","0","3499","35005","28.122804","-15.42442","12862611"
"3413","Obelisco","Alfonso XIII","6","33","35003","28.112557","-15.42306","5368416"
"3417","Oficina de la Sitycleta","Alcalde José R. Bethencourt","33","2256","35004","28.121787","-15.42499","6709723"
"3400","Oficina Sítycleta (elect.)","Alcalde José R. Bethencourt","33","2256","35004","28.121787","-15.42499","13337655"
"3424","Parque del Estadio Insular","Doctor José Ponce Arias","32","547","35006","28.128188","-15.43318","5368239"
"3437","Parque Santa Catalina","Nicolás Estévanez","1","739","35007","28.139716","-15.43041","6496862"
"3422","Paseo de Chil - Av. Escaleritas","Paseo de Chil","233","296","35005","28.125438","-15.43456","5368315"
"3420","Piscina Julio Navarro","Emilio Ley","4","1211","35005","28.121295","-15.42982","5368337"
"3429","Plaza de América","José Mesa y López","88","550","35010","28.129602","-15.44123","5368254"
"3427","Plaza de España","Diderot","25","307","35006","28.134494","-15.43466","5368139"
"3447","Plaza de España (elect.)","Diderot","25","307","35006","28.134584","-15.435006","43249515"
"3412","Plaza de la Feria","Plaza de la Feria","0","1561","35003","28.113563","-15.42018","6694547"
"3432","Plaza del Pilar","Lepanto","12","590","35010","28.129820","-15.44523","5368274"
"3443","Plaza Manuel Becerra","Juan Rejón","62","565","35008","28.150250","-15.42134","5367878"
"3416","Plaza O'Shanahan","Leon y Castillo","203","587","35004","28.118872","-15.42487","5368346"
"3405","Plaza San Agustín","Alcalde Fco. Hernández González","1","324","35001","28.099687","-15.41306","5368620"
"3430","Plazoleta de Farray","Farray","6","2798","35007","28.137063","-15.43543","5368062"
"3408","San Bernardo","San Bernardo","27","920","35002","28.104777","-15.41919","5368493"
"3403","San Cristóbal","Alicante","28","2382","35016","28.087813","-15.41681","5368627"
"3410","San Telmo","Triana","107","1047","35002","28.108307","-15.41735","5368453"
"3409","Teatro Pérez Galdós","Miguel de Cervantes","8","2617","35002","28.104188","-15.41468","5368507"
"3423","Torre Las Palmas","León y Castillo","295","587","35006","28.129437","-15.43039","5368195"
"3441","Torre Woermann","Albaredo","38","23","35008","28.145188","-15.42993","5367948"
"3448","Vega de San José","Paseo de San José","150","928","35015","28.091929444806","-15.418839454651","39892355"
"3402","Villa de Zaráuz","Paseo Blas Cabrera Felipe ""Físico""","316","1612","35016","28.084773737202","-15.418946743011","5368751"
